service_date,station,source_train,target_train,source_arr_delay,target_arr_delay,gap_minutes,source_delay_class,risk_score,risk_band
2024-09-06,BTE,12195,22656,7.0,17.0,10.0,MODERATE,0.5023307561905092,ELEVATED
2024-09-10,BAM,18418,12839,16.0,83.0,3.0,HIGH,0.5037321138546449,ELEVATED
2024-09-27,PTRU,13347,11448,4.0,35.0,11.0,LOW,0.5088947386277206,ELEVATED
2024-09-25,DDU,12506,12816,119.0,142.0,13.0,SEVERE,0.5420251155730065,ELEVATED
2024-09-30,RJY,2814,12862,37.0,80.0,26.0,HIGH,0.5049122217965902,ELEVATED
2024-09-20,LPI,18520,12738,58.0,2.0,15.0,HIGH,0.5063923207240459,ELEVATED
2024-09-09,LKO,20401,19410,6.0,3.0,17.0,MODERATE,0.5042395450153772,ELEVATED
2024-09-15,MZP,12312,15946,0.0,0.0,25.0,LOW,0.4755057872760171,MODERATE
2024-09-06,ND,12833,19483,6.0,23.0,25.0,MODERATE,0.47680302957352655,MODERATE
2024-09-26,BPQ,22673,12625,0.0,67.0,2.0,LOW,0.5460403340849095,ELEVATED
2024-09-21,ADI,20960,11087,0.0,0.0,19.0,LOW,0.47618984268760034,MODERATE
2024-09-19,LAR,22181,11841,18.0,3.0,7.0,HIGH,0.5053435336150908,ELEVATED
2024-09-16,VGLJ,22195,22533,0.0,18.0,12.0,LOW,0.5639982010097768,HIGH
2024-09-10,DDU,12329,12876,7.0,0.0,3.0,MODERATE,0.46637240050635864,LOW
2024-09-30,YPR,20654,16596,0.0,31.0,9.0,LOW,0.5069291426331757,ELEVATED
2024-09-02,PGT,16316,6240,23.0,0.0,23.0,HIGH,0.46971013638854525,LOW
2024-09-13,PRYJ,22307,12505,0.0,3.0,13.0,LOW,0.5080218939147404,ELEVATED
2024-09-15,KRD,17318,17411,0.0,0.0,15.0,LOW,0.47618984268760034,MODERATE
2024-09-21,VAK,12076,16650,18.0,3.0,12.0,HIGH,0.5053435336150908,ELEVATED
2024-09-19,MCI,12757,17012,43.0,0.0,1.0,HIGH,0.47007468613417974,MODERATE
2024-09-21,SBC,20662,22691,0.0,0.0,15.0,LOW,0.5134268711929735,ELEVATED
2024-09-17,MUR,15114,15008,0.0,31.0,8.0,LOW,0.5069291426331757,ELEVATED
2024-09-26,BBS,12073,12277,12.0,5.0,6.0,MODERATE,0.5629104528904975,HIGH
2024-09-22,BZA,12744,8558,0.0,60.0,5.0,LOW,0.56482161190911,HIGH
2024-09-20,TCR,12522,17229,20.0,18.0,20.0,HIGH,0.5037422178091479,ELEVATED
2024-09-02,BLDI,19405,20485,6.0,3.0,22.0,MODERATE,0.5043186229622304,ELEVATED
2024-09-29,GNT,17244,12703,0.0,6.0,16.0,LOW,0.5078868841385955,ELEVATED
2024-09-03,NAD,1919,19020,0.0,5.0,25.0,LOW,0.5076656463692485,ELEVATED
2024-09-27,ATP,17604,12769,18.0,0.0,22.0,HIGH,0.46971013638854525,LOW
2024-09-15,SA,17236,22649,11.0,0.0,11.0,MODERATE,0.4579341201243804,LOW
2024-09-25,VGLJ,12724,22167,13.0,15.0,7.0,MODERATE,0.5582605321597509,HIGH
2024-09-07,SNP,15708,12926,16.0,21.0,10.0,HIGH,0.5046861078258712,ELEVATED
2024-09-27,RTM,19712,12218,0.0,68.0,12.0,LOW,0.5069291426331757,ELEVATED
2024-09-02,BJU,15228,15231,44.0,3.0,4.0,HIGH,0.5064227106579202,ELEVATED
2024-09-26,R,12129,17482,0.0,0.0,14.0,LOW,0.47618984268760034,MODERATE
2024-09-08,DIA,22422,22421,17.0,11.0,8.0,HIGH,0.5046861078258712,ELEVATED
2024-09-13,PNC,15658,20802,75.0,0.0,5.0,SEVERE,0.4715928485779786,MODERATE
2024-09-07,PTJ,12602,22637,5.0,22.0,2.0,LOW,0.5061671359132722,ELEVATED
2024-09-13,SRR,16856,12082,0.0,33.0,8.0,LOW,0.5069291426331757,ELEVATED
2024-09-07,PRYJ,22437,5219,0.0,102.0,17.0,LOW,0.5115889437624425,ELEVATED
2024-09-16,NGP,12650,12642,66.0,121.0,20.0,SEVERE,0.5288965283613538,ELEVATED
2024-09-29,WR,12159,12114,20.0,8.0,28.0,HIGH,0.5046171125021766,ELEVATED
2024-09-23,GKP,19410,15065,0.0,2.0,27.0,LOW,0.5278489303341554,ELEVATED
2024-09-28,MKP,15018,9063,237.0,0.0,18.0,SEVERE,0.4854190017344529,MODERATE
2024-09-28,BVI,22904,9052,0.0,0.0,26.0,LOW,0.4427579905892003,LOW
2024-09-17,ET,22709,22178,3.0,4.0,21.0,LOW,0.5195813959925921,ELEVATED
2024-09-24,BZLE,13141,13432,51.0,0.0,26.0,HIGH,0.46985717241241104,LOW
2024-09-06,MABA,22161,14814,8.0,52.0,10.0,MODERATE,0.5035821192261577,ELEVATED
2024-09-06,JU,14801,14864,0.0,5.0,20.0,LOW,0.5139609100710876,ELEVATED
2024-09-19,KGP,12130,22329,1053.0,25.0,12.0,SEVERE,0.5142823651746431,ELEVATED
2024-09-21,CPR,13019,5733,21.0,379.0,3.0,HIGH,0.510846024390635,ELEVATED
2024-09-29,GNT,17229,17222,26.0,0.0,29.0,HIGH,0.4674857401122999,LOW
2024-09-21,NGP,12194,12723,4.0,16.0,17.0,LOW,0.526799672626597,ELEVATED
2024-09-30,RK,22356,13308,3.0,3.0,21.0,LOW,0.5075865684223952,ELEVATED
2024-09-28,YPR,20656,20662,0.0,23.0,1.0,LOW,0.5069291426331757,ELEVATED
2024-09-26,GHD,12873,18312,60.0,0.0,7.0,HIGH,0.47007468613417974,MODERATE
2024-09-10,TNA,12133,1167,0.0,80.0,11.0,LOW,0.5063895928021493,ELEVATED
2024-09-13,KGP,18006,22850,32.0,14.0,9.0,HIGH,0.5069558437160558,ELEVATED
2024-09-01,CTO,12625,12845,181.0,219.0,29.0,SEVERE,0.5186257806651815,ELEVATED
2024-09-19,BCA,13205,13021,0.0,11.0,22.0,LOW,0.507008220580029,ELEVATED
2024-09-16,AFK,16187,16127,0.0,4.0,15.0,LOW,0.5075865684223952,ELEVATED
2024-09-02,DHN,13307,15027,0.0,2.0,4.0,LOW,0.5089497416335668,ELEVATED
2024-09-14,DEOS,12166,1028,0.0,79.0,16.0,LOW,0.5069291426331757,ELEVATED
2024-09-01,DVD,18048,17243,14.0,0.0,13.0,MODERATE,0.47073726756011164,MODERATE
2024-09-02,KSV,19020,11905,4.0,14.0,10.0,LOW,0.506343371588546,ELEVATED
2024-09-16,JUC,12053,18102,0.0,20.0,15.0,LOW,0.5069291426331757,ELEVATED
2024-09-26,VAK,16605,12075,27.0,28.0,13.0,HIGH,0.5046861078258712,ELEVATED
2024-09-06,RPH,13150,13403,5.0,2.0,5.0,LOW,0.5068245617024918,ELEVATED
2024-09-16,PNU,12548,14707,0.0,0.0,5.0,LOW,0.4757233009977858,MODERATE
2024-09-01,DMV,15642,15604,0.0,22.0,7.0,LOW,0.5069291426331757,ELEVATED
2024-09-29,CBE,16525,12695,0.0,0.0,15.0,LOW,0.4765413337734397,MODERATE
2024-09-04,MKN,14088,12463,34.0,0.0,10.0,HIGH,0.4640187261387364,LOW
2024-09-08,BKH,12854,11273,11.0,40.0,13.0,MODERATE,0.5035821192261577,ELEVATED
2024-09-15,HWH,22347,12345,0.0,0.0,14.0,LOW,0.5382418466674547,ELEVATED
2024-09-10,JTJ,22637,13352,0.0,9.0,20.0,LOW,0.5193480045986986,ELEVATED
2024-09-24,SRR,20633,16306,8.0,16.0,30.0,MODERATE,0.5035131239024631,ELEVATED
2024-09-16,TUP,13352,12678,10.0,0.0,18.0,MODERATE,0.4748028734534198,MODERATE
2024-09-26,BCH,18233,14319,23.0,23.0,20.0,HIGH,0.5046861078258712,ELEVATED
2024-09-11,ST,12010,22929,2.0,0.0,4.0,LOW,0.4757233009977858,MODERATE
2024-09-26,SRJ,12321,15232,20.0,21.0,21.0,HIGH,0.5046861078258712,ELEVATED
2024-09-18,VAPI,22962,12934,4.0,3.0,13.0,LOW,0.4998530375433366,MODERATE
2024-09-27,BZA,12759,20896,0.0,0.0,9.0,LOW,0.4970094684889705,MODERATE
2024-09-17,MB,12092,12040,3.0,0.0,24.0,LOW,0.4801659540167005,MODERATE
2024-09-07,ARA,12333,12304,44.0,3.0,4.0,HIGH,0.5063100770410504,ELEVATED
2024-09-20,NJP,12041,15658,10.0,21.0,26.0,MODERATE,0.5027828891426992,ELEVATED
2024-09-22,PPI,22178,12321,35.0,0.0,10.0,HIGH,0.47054122782399427,MODERATE
2024-09-04,BRC,12952,19037,10.0,15.0,8.0,MODERATE,0.4622412116083232,LOW
2024-09-24,AFK,16306,12624,41.0,17.0,11.0,HIGH,0.504833143849737,ELEVATED
2024-09-14,TBM,12693,20635,7.0,9.0,22.0,MODERATE,0.5017407604807725,ELEVATED
2024-09-18,MUR,12555,15204,23.0,26.0,15.0,HIGH,0.5046861078258712,ELEVATED
2024-09-30,TEN,17236,20606,0.0,10.0,25.0,LOW,0.5040682063555166,ELEVATED
2024-09-30,HAS,17302,7377,0.0,0.0,8.0,LOW,0.4757233009977858,MODERATE
2024-09-30,DBRG,22504,15960,0.0,0.0,20.0,LOW,0.47618984268760034,MODERATE
2024-09-30,MDP,15028,13185,7.0,20.0,16.0,MODERATE,0.4555411322552492,LOW
2024-09-13,AJJ,12696,16204,6.0,22.0,8.0,MODERATE,0.5035821192261577,ELEVATED
2024-09-29,MUR,9043,15274,43.0,21.0,10.0,HIGH,0.504833143849737,ELEVATED
2024-09-19,PTKC,13151,11077,63.0,8.0,17.0,SEVERE,0.5115098698065901,ELEVATED
2024-09-26,RJPB,13288,13333,0.0,14.0,19.0,LOW,0.5069291426331757,ELEVATED
2024-09-15,AGC,12716,22547,412.0,3.0,1.0,SEVERE,0.5166471713139348,ELEVATED
2024-09-15,MZP,12311,15657,15.0,32.0,19.0,MODERATE,0.5035821192261577,ELEVATED
2024-09-13,BKSC,18625,2831,0.0,12.0,27.0,LOW,0.506860147309481,ELEVATED
2024-09-08,ED,12683,16187,25.0,18.0,28.0,HIGH,0.5046171125021766,ELEVATED
2024-09-09,KIUL,13288,12352,123.0,104.0,19.0,SEVERE,0.5192929227987247,ELEVATED
2024-09-15,NK,12071,11011,13.0,8.0,13.0,MODERATE,0.5035821192261577,ELEVATED
2024-09-17,STA,20903,12321,26.0,0.0,14.0,HIGH,0.4694126476455869,LOW
2024-09-10,BNDA,22129,19483,0.0,57.0,17.0,LOW,0.5069291426331757,ELEVATED
2024-09-18,BARH,18621,18626,12.0,14.0,26.0,MODERATE,0.5036611971730109,ELEVATED
2024-09-23,JMT,18622,13287,7.0,284.0,23.0,MODERATE,0.5078856728099326,ELEVATED
2024-09-14,BHP,13188,13031,0.0,46.0,4.0,LOW,0.5015415434122584,ELEVATED
2024-09-14,DDU,5219,20801,143.0,4.0,20.0,SEVERE,0.5268711168568759,ELEVATED
2024-09-13,NVS,20908,12926,11.0,0.0,27.0,MODERATE,0.462734703044819,LOW
2024-09-19,BALU,12864,22644,29.0,146.0,21.0,HIGH,0.5089105834627928,ELEVATED
2024-09-22,KPN,22617,12607,10.0,0.0,27.0,MODERATE,0.4739707447712887,MODERATE
2024-09-04,AJJ,12696,16204,3.0,16.0,5.0,LOW,0.5069291426331757,ELEVATED
2024-09-15,DG,12635,20672,19.0,3.0,7.0,HIGH,0.5053435336150908,ELEVATED
2024-09-22,BSL,12336,12534,5.0,6.0,16.0,LOW,0.5068245617024918,ELEVATED
2024-09-20,PSA,20841,18418,0.0,0.0,7.0,LOW,0.4757233009977858,MODERATE
2024-09-29,JJKR,12888,18477,0.0,85.0,1.0,LOW,0.5069291426331757,ELEVATED
2024-09-14,BZA,17281,20708,2.0,9.0,2.0,LOW,0.5705663513786443,HIGH
2024-09-19,YPR,16535,16571,17.0,2.0,15.0,HIGH,0.5053435336150908,ELEVATED
2024-09-03,DDU,13010,13202,102.0,4.0,22.0,SEVERE,0.5283438309278384,ELEVATED
2024-09-01,NDB,19005,20930,6.0,12.0,7.0,MODERATE,0.5035821192261577,ELEVATED
2024-09-23,NDD,17480,12727,2.0,38.0,1.0,LOW,0.5069291426331757,ELEVATED
2024-09-19,BZA,12788,18190,0.0,142.0,17.0,LOW,0.5712403830402192,HIGH
2024-09-14,BJU,15028,13419,0.0,33.0,17.0,LOW,0.5069291426331757,ELEVATED
2024-09-28,UMB,14034,12414,0.0,0.0,15.0,LOW,0.5022510485674084,ELEVATED
2024-09-11,JTJ,12685,12512,0.0,0.0,15.0,LOW,0.47831321284019634,MODERATE
2024-09-02,RE,14733,20474,0.0,26.0,3.0,LOW,0.5069291426331757,ELEVATED
2024-09-20,KYN,22105,12165,12.0,18.0,10.0,MODERATE,0.5035821192261577,ELEVATED
2024-09-04,ASN,12301,12313,6.0,8.0,21.0,MODERATE,0.5058419238182653,ELEVATED
2024-09-04,VGLJ,11058,22167,3.0,384.0,6.0,LOW,0.5707459823798762,HIGH
2024-09-27,RMGM,16227,16585,19.0,19.0,7.0,HIGH,0.5001242578731167,ELEVATED
2024-09-13,DDU,12333,3246,0.0,697.0,12.0,LOW,0.5356174554485943,ELEVATED
2024-09-26,RJT,19210,12268,0.0,3.0,22.0,LOW,0.5019814589953079,ELEVATED
2024-09-30,BYT,12856,12410,90.0,29.0,16.0,SEVERE,0.5132344780375239,ELEVATED
2024-09-14,VGLJ,2200,22221,0.0,0.0,7.0,LOW,0.5141300976757421,ELEVATED
2024-09-28,SHRN,22191,19304,0.0,2.0,30.0,LOW,0.5075175730987005,ELEVATED
2024-09-03,RANI,20824,22548,0.0,0.0,5.0,LOW,0.4757233009977858,MODERATE
2024-09-01,BOE,15946,15658,0.0,172.0,22.0,LOW,0.5112326962169506,ELEVATED
2024-09-18,ROK,12137,20985,102.0,0.0,6.0,SEVERE,0.4715928485779786,MODERATE
2024-09-21,CSMT,12137,12111,0.0,0.0,20.0,LOW,0.5919590977429511,HIGH
2024-09-29,MTC,12904,12401,8.0,69.0,10.0,MODERATE,0.5035821192261577,ELEVATED
2024-09-30,BSL,12112,12618,0.0,16.0,6.0,LOW,0.5069291426331757,ELEVATED
2024-09-23,BSL,12534,19045,25.0,2.0,17.0,HIGH,0.5053435336150908,ELEVATED
2024-09-27,ARA,12235,12334,32.0,109.0,26.0,HIGH,0.50980916881174,ELEVATED
2024-09-24,LKO,19402,19168,4.0,7.0,8.0,LOW,0.506343371588546,ELEVATED
2024-09-04,NZM,22692,12448,0.0,0.0,10.0,LOW,0.5686970838924612,HIGH
2024-09-03,HRR,7378,16590,0.0,0.0,18.0,LOW,0.47502341862616865,MODERATE
2024-09-06,PML,22676,12084,0.0,0.0,16.0,LOW,0.47618984268760034,MODERATE
2024-09-27,BKSC,22823,2831,10.0,116.0,26.0,MODERATE,0.5078856728099326,ELEVATED
2024-09-07,TML,6036,16361,0.0,18.0,19.0,LOW,0.5069291426331757,ELEVATED
2024-09-15,BGP,14004,15657,35.0,10.0,25.0,HIGH,0.501549869720636,ELEVATED
2024-09-07,UMB,12460,12054,7.0,0.0,8.0,MODERATE,0.5076880695602489,ELEVATED
2024-09-07,KYN,11017,22221,155.0,6.0,12.0,SEVERE,0.5152116948267143,ELEVATED
2024-09-08,RTM,9654,12228,0.0,9.0,4.0,LOW,0.5069291426331757,ELEVATED
2024-09-04,CSMT,22105,12859,0.0,5.0,24.0,LOW,0.602005828995907,CRITICAL
2024-09-18,TDL,14866,12304,0.0,0.0,13.0,LOW,0.47618984268760034,MODERATE
2024-09-03,PLJ,19033,22930,0.0,25.0,3.0,LOW,0.5069291426331757,ELEVATED
2024-09-22,MOZ,12904,18238,4.0,6.0,23.0,LOW,0.5050974108143548,ELEVATED
2024-09-09,PHR,14653,14682,3.0,0.0,1.0,LOW,0.4757233009977858,MODERATE
