service_date,station,source_train,target_train,source_arr_delay,target_arr_delay,gap_minutes,risk_score,risk_band,warning_priority,alert_message
2024-09-17,CSMT,22159,20706,24.0,2.0,3.0,0.6097489973159805,CRITICAL,CRITICAL,CSMT: Train 22159 may propagate delay to Train 20706 (risk 61.0%)
2024-09-29,CSMT,12072,12261,28.0,4.0,1.0,0.6082729972993458,CRITICAL,CRITICAL,CSMT: Train 12072 may propagate delay to Train 12261 (risk 60.8%)
2024-09-11,CSMT,22105,12859,19.0,3.0,4.0,0.606236180594354,CRITICAL,CRITICAL,CSMT: Train 22105 may propagate delay to Train 12859 (risk 60.6%)
2024-09-21,NDLS,12034,2394,3.0,161.0,8.0,0.6053434616698391,CRITICAL,CRITICAL,NDLS: Train 12034 may propagate delay to Train 2394 (risk 60.5%)
2024-09-11,CSMT,22106,12322,22.0,11.0,4.0,0.6052246542388888,CRITICAL,CRITICAL,CSMT: Train 22106 may propagate delay to Train 12322 (risk 60.5%)
2024-09-05,NDLS,14728,2394,3.0,306.0,15.0,0.6049272924076438,CRITICAL,CRITICAL,NDLS: Train 14728 may propagate delay to Train 2394 (risk 60.5%)
2024-09-22,NDLS,20805,20808,115.0,2.0,27.0,0.6049154451289631,CRITICAL,CRITICAL,NDLS: Train 20805 may propagate delay to Train 20808 (risk 60.5%)
2024-09-19,NDLS,12560,12724,0.0,253.0,8.0,0.6048645734116338,CRITICAL,CRITICAL,NDLS: Train 12560 may propagate delay to Train 12724 (risk 60.5%)
2024-09-17,NDLS,12877,16032,144.0,4.0,5.0,0.6045577234683407,CRITICAL,CRITICAL,NDLS: Train 12877 may propagate delay to Train 16032 (risk 60.5%)
2024-09-28,NDLS,12420,12459,67.0,4.0,27.0,0.6043509601484084,CRITICAL,CRITICAL,NDLS: Train 12420 may propagate delay to Train 12459 (risk 60.4%)
2024-09-30,BINA,12626,22538,845.0,29.0,4.0,0.6040227042398161,CRITICAL,CRITICAL,BINA: Train 12626 may propagate delay to Train 22538 (risk 60.4%)
2024-09-21,NDLS,20958,12926,3.0,184.0,6.0,0.6038711048575164,CRITICAL,CRITICAL,NDLS: Train 20958 may propagate delay to Train 12926 (risk 60.4%)
2024-09-23,NDLS,12417,9321,0.0,249.0,24.0,0.6037525158856275,CRITICAL,CRITICAL,NDLS: Train 12417 may propagate delay to Train 9321 (risk 60.4%)
2024-09-10,NDLS,12716,2570,129.0,166.0,7.0,0.6036340504984414,CRITICAL,CRITICAL,NDLS: Train 12716 may propagate delay to Train 2570 (risk 60.4%)
2024-09-10,ASR,12054,12716,5.0,105.0,20.0,0.6034928881310401,CRITICAL,CRITICAL,ASR: Train 12054 may propagate delay to Train 12716 (risk 60.3%)
2024-09-15,NDLS,16031,11077,96.0,91.0,20.0,0.6034739725937103,CRITICAL,CRITICAL,NDLS: Train 16031 may propagate delay to Train 11077 (risk 60.3%)
2024-09-05,NDLS,82502,2570,0.0,205.0,9.0,0.6034667240089465,CRITICAL,CRITICAL,NDLS: Train 82502 may propagate delay to Train 2570 (risk 60.3%)
2024-09-12,CSMT,12051,17617,0.0,3.0,22.0,0.6034475600343518,CRITICAL,CRITICAL,CSMT: Train 12051 may propagate delay to Train 17617 (risk 60.3%)
2024-09-07,CSMT,12127,11007,0.0,3.0,23.0,0.6034475600343518,CRITICAL,CRITICAL,CSMT: Train 12127 may propagate delay to Train 11007 (risk 60.3%)
2024-09-16,CSMT,11009,12109,3.0,2.0,24.0,0.6033491546625578,CRITICAL,CRITICAL,CSMT: Train 11009 may propagate delay to Train 12109 (risk 60.3%)
2024-09-12,BINA,12716,12156,431.0,32.0,8.0,0.6032789150214544,CRITICAL,CRITICAL,BINA: Train 12716 may propagate delay to Train 12156 (risk 60.3%)
2024-09-15,CSMT,12126,11029,5.0,190.0,20.0,0.6031650590623597,CRITICAL,CRITICAL,CSMT: Train 12126 may propagate delay to Train 11029 (risk 60.3%)
2024-09-20,CSMT,12322,12137,5.0,186.0,21.0,0.6031650590623597,CRITICAL,CRITICAL,CSMT: Train 12322 may propagate delay to Train 12137 (risk 60.3%)
2024-09-01,NDLS,12045,12524,2.0,273.0,26.0,0.6029936610487601,CRITICAL,CRITICAL,NDLS: Train 12045 may propagate delay to Train 12524 (risk 60.3%)
2024-09-29,CSMT,17411,16331,0.0,4.0,19.0,0.6026169947059205,CRITICAL,CRITICAL,CSMT: Train 17411 may propagate delay to Train 16331 (risk 60.3%)
2024-09-18,CSMT,11301,12534,0.0,4.0,19.0,0.6026169947059205,CRITICAL,CRITICAL,CSMT: Train 11301 may propagate delay to Train 12534 (risk 60.3%)
2024-09-06,ASR,12030,12412,3.0,3.0,15.0,0.6025125140921336,CRITICAL,CRITICAL,ASR: Train 12030 may propagate delay to Train 12412 (risk 60.3%)
2024-09-19,NDLS,2564,16788,0.0,273.0,13.0,0.6025014820926096,CRITICAL,CRITICAL,NDLS: Train 2564 may propagate delay to Train 16788 (risk 60.3%)
2024-09-09,ASR,12014,12242,0.0,2.0,17.0,0.6023762822629393,CRITICAL,CRITICAL,ASR: Train 12014 may propagate delay to Train 12242 (risk 60.2%)
2024-09-12,ASR,12014,12242,0.0,2.0,17.0,0.6023762822629393,CRITICAL,CRITICAL,ASR: Train 12014 may propagate delay to Train 12242 (risk 60.2%)
2024-09-02,ASR,12014,12242,0.0,2.0,17.0,0.6023762822629393,CRITICAL,CRITICAL,ASR: Train 12014 may propagate delay to Train 12242 (risk 60.2%)
2024-09-27,BINA,12191,12155,48.0,8.0,5.0,0.6021299937064357,CRITICAL,CRITICAL,BINA: Train 12191 may propagate delay to Train 12155 (risk 60.2%)
2024-09-22,CSMT,12701,12133,0.0,7.0,11.0,0.6021190882961106,CRITICAL,CRITICAL,CSMT: Train 12701 may propagate delay to Train 12133 (risk 60.2%)
2024-09-07,CSMT,22177,12137,3.0,302.0,24.0,0.6021047684196573,CRITICAL,CRITICAL,CSMT: Train 22177 may propagate delay to Train 12137 (risk 60.2%)
2024-09-04,CSMT,22105,12859,0.0,5.0,24.0,0.602005828995907,CRITICAL,CRITICAL,CSMT: Train 22105 may propagate delay to Train 12859 (risk 60.2%)
2024-09-27,CSMT,22223,12127,0.0,5.0,24.0,0.602005828995907,CRITICAL,CRITICAL,CSMT: Train 22223 may propagate delay to Train 12127 (risk 60.2%)
2024-09-05,CSMT,12289,17411,3.0,5.0,7.0,0.6019549319047185,CRITICAL,CRITICAL,CSMT: Train 12289 may propagate delay to Train 17411 (risk 60.2%)
2024-09-03,NDLS,12309,12555,0.0,149.0,4.0,0.6017247323895123,CRITICAL,CRITICAL,NDLS: Train 12309 may propagate delay to Train 12555 (risk 60.2%)
2024-09-09,CSMT,17617,22105,0.0,2.0,11.0,0.6016754874133374,CRITICAL,CRITICAL,CSMT: Train 17617 may propagate delay to Train 22105 (risk 60.2%)
2024-09-25,CSMT,11007,10103,0.0,9.0,19.0,0.6016212141338866,CRITICAL,CRITICAL,CSMT: Train 11007 may propagate delay to Train 10103 (risk 60.2%)
2024-09-01,CSMT,22224,20111,2.0,5.0,13.0,0.6015962893906519,CRITICAL,CRITICAL,CSMT: Train 22224 may propagate delay to Train 20111 (risk 60.2%)
2024-09-03,ASR,12904,18310,0.0,2.0,28.0,0.6015488749831331,CRITICAL,CRITICAL,ASR: Train 12904 may propagate delay to Train 18310 (risk 60.2%)
2024-09-19,NDLS,12626,12474,183.0,113.0,5.0,0.601436517045642,CRITICAL,CRITICAL,NDLS: Train 12626 may propagate delay to Train 12474 (risk 60.1%)
2024-09-11,NDLS,12029,12616,0.0,920.0,10.0,0.6013774174102371,CRITICAL,CRITICAL,NDLS: Train 12029 may propagate delay to Train 12616 (risk 60.1%)
2024-09-29,ASR,12716,12484,0.0,3.0,27.0,0.6012780251673905,CRITICAL,CRITICAL,ASR: Train 12716 may propagate delay to Train 12484 (risk 60.1%)
2024-09-12,ASR,12358,12460,0.0,2.0,22.0,0.6012719848045002,CRITICAL,CRITICAL,ASR: Train 12358 may propagate delay to Train 12460 (risk 60.1%)
2024-09-06,NDLS,12398,14681,111.0,2.0,6.0,0.6011987996593906,CRITICAL,CRITICAL,NDLS: Train 12398 may propagate delay to Train 14681 (risk 60.1%)
2024-09-23,ASR,12904,18102,2.0,4.0,29.0,0.6011826885187048,CRITICAL,CRITICAL,ASR: Train 12904 may propagate delay to Train 18102 (risk 60.1%)
2024-09-21,CSMT,22224,22157,0.0,2.0,4.0,0.6011759895485951,CRITICAL,CRITICAL,CSMT: Train 22224 may propagate delay to Train 22157 (risk 60.1%)
2024-09-13,ASR,12904,18310,4.0,3.0,26.0,0.6010407905170975,CRITICAL,CRITICAL,ASR: Train 12904 may propagate delay to Train 18310 (risk 60.1%)
2024-09-07,CSMT,17617,22105,4.0,7.0,13.0,0.6009960634409418,CRITICAL,CRITICAL,CSMT: Train 17617 may propagate delay to Train 22105 (risk 60.1%)
