service_date,station,source_train,target_train,source_arr_delay,target_arr_delay,gap_minutes,source_delay_class,risk_score,risk_band,warning,warning_priority
2024-09-17,CSMT,22159,20706,24.0,2.0,3.0,HIGH,0.6097489973159805,CRITICAL,1,CRITICAL
2024-09-29,CSMT,12072,12261,28.0,4.0,1.0,HIGH,0.6082729972993458,CRITICAL,1,CRITICAL
2024-09-11,CSMT,22105,12859,19.0,3.0,4.0,HIGH,0.606236180594354,CRITICAL,1,CRITICAL
2024-09-21,NDLS,12034,2394,3.0,161.0,8.0,LOW,0.6053434616698391,CRITICAL,1,CRITICAL
2024-09-11,CSMT,22106,12322,22.0,11.0,4.0,HIGH,0.6052246542388888,CRITICAL,1,CRITICAL
2024-09-05,NDLS,14728,2394,3.0,306.0,15.0,LOW,0.6049272924076438,CRITICAL,1,CRITICAL
2024-09-22,NDLS,20805,20808,115.0,2.0,27.0,SEVERE,0.6049154451289631,CRITICAL,1,CRITICAL
2024-09-19,NDLS,12560,12724,0.0,253.0,8.0,LOW,0.6048645734116338,CRITICAL,1,CRITICAL
2024-09-17,NDLS,12877,16032,144.0,4.0,5.0,SEVERE,0.6045577234683407,CRITICAL,1,CRITICAL
2024-09-28,NDLS,12420,12459,67.0,4.0,27.0,SEVERE,0.6043509601484084,CRITICAL,1,CRITICAL
2024-09-30,BINA,12626,22538,845.0,29.0,4.0,SEVERE,0.6040227042398161,CRITICAL,1,CRITICAL
2024-09-21,NDLS,20958,12926,3.0,184.0,6.0,LOW,0.6038711048575164,CRITICAL,1,CRITICAL
2024-09-23,NDLS,12417,9321,0.0,249.0,24.0,LOW,0.6037525158856275,CRITICAL,1,CRITICAL
2024-09-10,NDLS,12716,2570,129.0,166.0,7.0,SEVERE,0.6036340504984414,CRITICAL,1,CRITICAL
2024-09-10,ASR,12054,12716,5.0,105.0,20.0,LOW,0.6034928881310401,CRITICAL,1,CRITICAL
2024-09-15,NDLS,16031,11077,96.0,91.0,20.0,SEVERE,0.6034739725937103,CRITICAL,1,CRITICAL
2024-09-05,NDLS,82502,2570,0.0,205.0,9.0,LOW,0.6034667240089465,CRITICAL,1,CRITICAL
2024-09-12,CSMT,12051,17617,0.0,3.0,22.0,LOW,0.6034475600343518,CRITICAL,1,CRITICAL
2024-09-07,CSMT,12127,11007,0.0,3.0,23.0,LOW,0.6034475600343518,CRITICAL,1,CRITICAL
2024-09-16,CSMT,11009,12109,3.0,2.0,24.0,LOW,0.6033491546625578,CRITICAL,1,CRITICAL
2024-09-12,BINA,12716,12156,431.0,32.0,8.0,SEVERE,0.6032789150214544,CRITICAL,1,CRITICAL
2024-09-15,CSMT,12126,11029,5.0,190.0,20.0,LOW,0.6031650590623597,CRITICAL,1,CRITICAL
2024-09-20,CSMT,12322,12137,5.0,186.0,21.0,LOW,0.6031650590623597,CRITICAL,1,CRITICAL
2024-09-01,NDLS,12045,12524,2.0,273.0,26.0,LOW,0.6029936610487601,CRITICAL,1,CRITICAL
2024-09-29,CSMT,17411,16331,0.0,4.0,19.0,LOW,0.6026169947059205,CRITICAL,1,CRITICAL
2024-09-18,CSMT,11301,12534,0.0,4.0,19.0,LOW,0.6026169947059205,CRITICAL,1,CRITICAL
2024-09-06,ASR,12030,12412,3.0,3.0,15.0,LOW,0.6025125140921336,CRITICAL,1,CRITICAL
2024-09-19,NDLS,2564,16788,0.0,273.0,13.0,LOW,0.6025014820926096,CRITICAL,1,CRITICAL
2024-09-09,ASR,12014,12242,0.0,2.0,17.0,LOW,0.6023762822629393,CRITICAL,1,CRITICAL
2024-09-12,ASR,12014,12242,0.0,2.0,17.0,LOW,0.6023762822629393,CRITICAL,1,CRITICAL
2024-09-02,ASR,12014,12242,0.0,2.0,17.0,LOW,0.6023762822629393,CRITICAL,1,CRITICAL
2024-09-27,BINA,12191,12155,48.0,8.0,5.0,HIGH,0.6021299937064357,CRITICAL,1,CRITICAL
2024-09-22,CSMT,12701,12133,0.0,7.0,11.0,LOW,0.6021190882961106,CRITICAL,1,CRITICAL
