record_id,source,issue_type,decision,reason,original_value,corrected_value
stations#XX-BECE,stations,PLACEHOLDER_CODE,INVESTIGATE,Code 'XX-BECE' is a Datameet placeholder; real station identity unknown,XX-BECE,
stations#XX-BECE,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#XX-BECE,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#XX-BECE,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#XX-BECE,stations,MISSING_GEOMETRY,INVESTIGATE,No coordinates available; OSM enrichment step required,,
stations#XX-BSPY,stations,PLACEHOLDER_CODE,INVESTIGATE,Code 'XX-BSPY' is a Datameet placeholder; real station identity unknown,XX-BSPY,
stations#XX-BSPY,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#XX-BSPY,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#XX-BSPY,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#XX-BSPY,stations,MISSING_GEOMETRY,INVESTIGATE,No coordinates available; OSM enrichment step required,,
stations#YY-BPLC,stations,PLACEHOLDER_CODE,INVESTIGATE,Code 'YY-BPLC' is a Datameet placeholder; real station identity unknown,YY-BPLC,
stations#YY-BPLC,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#YY-BPLC,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#YY-BPLC,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#YY-BPLC,stations,MISSING_GEOMETRY,INVESTIGATE,No coordinates available; OSM enrichment step required,,
stations#JKR,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#JKR,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#JKR,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#BYS,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#BYS,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#BYS,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#GW,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#GW,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#GW,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#DGD,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#DGD,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#DGD,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#GAJ,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#GAJ,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#GAJ,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#PHA,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#PHA,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#PHA,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#RJO,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#RJO,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#RJO,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#GKP,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#GKP,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#GKP,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#BJUP,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#BJUP,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#BJUP,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#BJUP,stations,MISSING_GEOMETRY,INVESTIGATE,No coordinates available; OSM enrichment step required,,
stations#VRM,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#VRM,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#VRM,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#GKC,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#GKC,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#GKC,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#ITA,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#ITA,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#ITA,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#CIKA,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#CIKA,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
