train_number,delay_min,cancelled,snapshot_ts
31450,7,False,2026-09-06T18:30:40Z
12377,35,False,2026-09-06T18:30:40Z
13153,108,False,2026-09-06T18:30:40Z
31844,15,False,2026-09-06T18:30:40Z
31542,6,False,2026-09-06T18:30:40Z
38455,15,False,2026-09-06T18:30:40Z
38828,41,False,2026-09-06T18:30:40Z
12839,181,False,2026-09-06T18:30:40Z
11447,69,False,2026-09-06T18:30:40Z
37290,18,False,2026-09-06T18:30:40Z
22898,90,False,2026-09-06T18:30:40Z
36860,10,False,2026-09-06T18:30:40Z
12666,15,False,2026-09-06T18:30:40Z
63502,16,False,2026-09-06T18:30:40Z
12022,219,False,2026-09-06T18:30:40Z
38830,48,False,2026-09-06T18:30:40Z
22893,271,False,2026-09-06T18:30:40Z
12221,288,False,2026-09-06T18:30:40Z
22302,204,False,2026-09-06T18:30:40Z
12840,168,False,2026-09-06T18:30:40Z
53002,23,False,2026-09-06T18:30:40Z
13024,32,False,2026-09-06T18:30:40Z
13036,26,False,2026-09-06T18:30:40Z
13030,10,False,2026-09-06T18:30:40Z
12167,14,False,2026-09-06T18:30:40Z
12115,8,False,2026-09-06T18:30:40Z
96406,40,False,2026-09-06T18:30:40Z
11062,6,False,2026-09-06T18:30:40Z
96228,36,False,2026-09-06T18:30:40Z
12145,169,False,2026-09-06T18:30:40Z
96522,22,False,2026-09-06T18:30:40Z
11058,30,False,2026-09-06T18:30:40Z
12810,143,False,2026-09-06T18:30:40Z
12141,274,False,2026-09-06T18:30:40Z
11057,451,False,2026-09-06T18:30:40Z
12811,249,False,2026-09-06T18:30:40Z
22177,235,False,2026-09-06T18:30:40Z
22538,437,False,2026-09-06T18:30:40Z
18030,236,False,2026-09-06T18:30:40Z
20822,495,False,2026-09-06T18:30:40Z
40385,,True,2026-09-06T18:30:40Z
40394,,True,2026-09-06T18:30:40Z
40660,,True,2026-09-06T18:30:40Z
40396,,True,2026-09-06T18:30:40Z
40662,,True,2026-09-06T18:30:40Z
12903,17,False,2026-09-06T18:30:40Z
12955,6,False,2026-09-06T18:30:40Z
12902,14,False,2026-09-06T18:30:40Z
12962,7,False,2026-09-06T18:30:40Z
09023,22,False,2026-09-06T18:30:40Z
09423,95,False,2026-09-06T18:30:40Z
12484,12,False,2026-09-06T18:30:40Z
12228,18,False,2026-09-06T18:30:40Z
05183,167,False,2026-09-06T18:30:40Z
40381,,True,2026-09-06T18:30:40Z
40383,,True,2026-09-06T18:30:40Z
15630,305,False,2026-09-06T18:30:40Z
12760,14,False,2026-09-06T18:30:40Z
20819,47,False,2026-09-06T18:30:40Z
22502,187,False,2026-09-06T18:30:40Z
17015,40,False,2026-09-06T18:30:40Z
12783,5,False,2026-09-06T18:30:40Z
22504,19,False,2026-09-06T18:30:40Z
12615,11,False,2026-09-06T18:30:40Z
12851,30,False,2026-09-06T18:30:40Z
12864,155,False,2026-09-06T18:30:40Z
20625,11,False,2026-09-06T18:30:40Z
08509,103,False,2026-09-06T18:30:40Z
17244,19,False,2026-09-06T18:30:40Z
05074,154,False,2026-09-06T18:30:40Z
18189,9,False,2026-09-06T18:30:40Z
19038,16,False,2026-09-06T18:30:40Z
19625,9,False,2026-09-06T18:30:40Z
09079,5,False,2026-09-06T18:30:40Z
12906,212,False,2026-09-06T18:30:40Z
12565,63,False,2026-09-06T18:30:40Z
19167,28,False,2026-09-06T18:30:40Z
12427,7,False,2026-09-06T18:30:40Z
15658,110,False,2026-09-06T18:30:40Z
15565,48,False,2026-09-06T18:30:40Z
12555,74,False,2026-09-06T18:30:40Z
12560,7,False,2026-09-06T18:30:40Z
13237,18,False,2026-09-06T18:30:40Z
02563,218,False,2026-09-06T18:30:40Z
02569,256,False,2026-09-06T18:30:40Z
12226,35,False,2026-09-06T18:30:40Z
12571,,True,2026-09-06T18:30:40Z
20103,99,False,2026-09-06T18:30:40Z
20508,195,False,2026-09-06T18:30:40Z
12183,45,False,2026-09-06T18:30:40Z
12556,166,False,2026-09-06T18:30:40Z
11055,94,False,2026-09-06T18:30:40Z
11061,23,False,2026-09-06T18:30:40Z
20424,18,False,2026-09-06T18:30:40Z
22178,82,False,2026-09-06T18:30:40Z
12716,30,False,2026-09-06T18:30:40Z
11078,17,False,2026-09-06T18:30:40Z
12159,30,False,2026-09-06T18:30:40Z
22910,201,False,2026-09-06T18:30:40Z
11071,27,False,2026-09-06T18:30:40Z
12625,24,False,2026-09-06T18:30:40Z
13202,28,False,2026-09-06T18:30:40Z
12406,93,False,2026-09-06T18:30:40Z
22359,114,False,2026-09-06T18:30:40Z
01450,218,False,2026-09-06T18:30:40Z
07076,369,False,2026-09-06T18:30:40Z
12143,42,False,2026-09-06T18:30:40Z
12173,38,False,2026-09-06T18:30:40Z
61129,9,False,2026-09-06T18:30:40Z
01449,71,False,2026-09-06T18:30:40Z
12105,48,False,2026-09-06T18:30:40Z
12130,246,False,2026-09-06T18:30:40Z
