train_number,station_code,station_name,avg_delay_minutes,percent_right_time,percent_slight_delay,percent_significant_delay,percent_cancelled
02501,KOAA,KOLKATA,7.0,94.23,1.92,3.85,0.0
02501,BDC,BANDEL JN,11.0,90.38,5.77,3.85,0.0
02501,NDAE,NABADWIP DHAM,22.0,61.54,34.62,3.85,0.0
02501,KWAE,KATWA,19.0,69.23,25.0,5.77,0.0
02501,AZ,AZIMGANJ JN,14.0,86.54,7.69,5.77,0.0
02501,JRLE,JANGIPUR ROAD,19.0,59.62,32.69,5.77,1.92
02501,MLDT,MALDA TOWN,73.0,17.31,34.62,48.08,0.0
02501,KNE,KISHANGANJ,131.0,0.0,15.38,84.62,0.0
02501,NJP,NEW JALPAIGURI,129.0,3.85,17.31,78.85,0.0
02501,NCB,NEW COOCH BEHAR,167.0,0.0,15.38,84.62,0.0
02501,NOQ,NEW ALIPURDAUR,156.0,1.92,13.46,84.62,0.0
02501,KOJ,KOKRAJHAR,175.0,0.0,11.54,88.46,0.0
02501,NBQ,NEW BONGAIGAON,166.0,1.92,11.54,86.54,0.0
02501,GLPT,GOALPARA TOWN,169.0,3.85,7.69,88.46,0.0
02501,GHY,GUWAHATI,230.0,0.0,3.85,96.15,0.0
02501,MYD,MANDERDISA,262.0,0.0,0.0,100.0,0.0
02501,NHLG,NEW HAFLONG,262.0,0.0,3.85,96.15,0.0
02501,BPB,BADARPUR JN,237.0,0.0,5.77,94.23,0.0
02501,NKMG,NEW KARIMGANJ,247.0,0.0,3.85,96.15,0.0
02501,DMR,DHARMANAGAR,240.0,1.92,3.85,94.23,0.0
02501,AGTL,AGARTALA,227.0,3.85,7.69,88.46,0.0
02502,AGTL,AGARTALA,3.0,96.15,3.85,0.0,0.0
02502,DMR,DHARMANAGAR,16.0,50.0,50.0,0.0,0.0
02502,NKMG,NEW KARIMGANJ,18.0,57.69,40.38,1.92,0.0
02502,BPB,BADARPUR JN,29.0,30.77,61.54,7.69,0.0
02502,NHLG,NEW HAFLONG,22.0,53.85,34.62,11.54,0.0
02502,MYD,MANDERDISA,18.0,65.38,26.92,7.69,0.0
02502,GHY,GUWAHATI,36.0,57.69,19.23,23.08,0.0
02502,GLPT,GOALPARA TOWN,88.0,0.0,46.15,51.92,1.92
02502,NBQ,NEW BONGAIGAON,74.0,17.31,34.62,48.08,0.0
02502,KOJ,KOKRAJHAR,85.0,9.62,34.62,55.77,0.0
02502,NOQ,NEW ALIPURDAUR,98.0,3.85,34.62,61.54,0.0
02502,NCB,NEW COOCH BEHAR,127.0,0.0,23.08,76.92,0.0
02502,NJP,NEW JALPAIGURI,98.0,15.38,21.15,63.46,0.0
02502,KNE,KISHANGANJ,118.0,11.54,9.62,78.85,0.0
02502,MLDT,MALDA TOWN,132.0,13.46,3.85,82.69,0.0
02502,JRLE,JANGIPUR ROAD,156.0,11.54,3.85,84.62,0.0
02502,AZ,AZIMGANJ JN,155.0,13.46,3.85,82.69,0.0
02502,KWAE,KATWA,157.0,13.46,3.85,82.69,0.0
02502,NDAE,NABADWIP DHAM,162.0,13.46,1.92,84.62,0.0
02502,BDC,BANDEL JN,166.0,13.46,3.85,82.69,0.0
02502,KOAA,KOLKATA,165.0,13.46,5.77,80.77,0.0
02517,KOAA,KOLKATA,19.0,81.13,7.55,11.32,0.0
02517,BDC,BANDEL JN,26.0,71.7,15.09,13.21,0.0
02517,NDAE,NABADWIP DHAM,34.0,54.72,28.3,16.98,0.0
02517,KWAE,KATWA,33.0,64.15,16.98,18.87,0.0
02517,AZ,AZIMGANJ JN,25.0,71.7,9.43,18.87,0.0
02517,JRLE,JANGIPUR ROAD,34.0,49.06,30.19,20.75,0.0
02517,MLDT,MALDA TOWN,75.0,7.55,52.83,39.62,0.0
02517,KNE,KISHANGANJ,140.0,0.0,7.55,92.45,0.0
02517,NJP,NEW JALPAIGURI,135.0,5.66,3.77,90.57,0.0
02517,NCB,NEW COOCH BEHAR,177.0,1.89,7.55,90.57,0.0
02517,NOQ,NEW ALIPURDAUR,169.0,1.89,7.55,90.57,0.0
02517,KOJ,KOKRAJHAR,191.0,3.77,5.66,90.57,0.0
02517,NBQ,NEW BONGAIGAON,180.0,7.55,0.0,92.45,0.0
02517,GLPT,GOALPARA TOWN,194.0,5.66,1.89,90.57,1.89
02517,GHY,GUWAHATI,186.0,3.77,7.55,88.68,0.0
02518,GHY,GUWAHATI,13.0,75.0,21.15,3.85,0.0
02518,GLPT,GOALPARA TOWN,57.0,3.85,65.38,30.77,0.0
02518,NBQ,NEW BONGAIGAON,42.0,23.08,57.69,19.23,0.0
02518,KOJ,KOKRAJHAR,50.0,19.23,53.85,26.92,0.0
02518,NOQ,NEW ALIPURDAUR,65.0,9.62,48.08,42.31,0.0
02518,NCB,NEW COOCH BEHAR,95.0,0.0,30.77,69.23,0.0
02518,NJP,NEW JALPAIGURI,66.0,23.08,36.54,40.38,0.0
02518,KNE,KISHANGANJ,94.0,0.0,46.15,53.85,0.0
02518,MLDT,MALDA TOWN,124.0,3.85,13.46,82.69,0.0
02518,JRLE,JANGIPUR ROAD,146.0,1.92,7.69,90.38,0.0
02518,AZ,AZIMGANJ JN,148.0,1.92,9.62,88.46,0.0
02518,KWAE,KATWA,150.0,3.85,11.54,84.62,0.0
02518,NDAE,NABADWIP DHAM,158.0,3.85,11.54,84.62,0.0
02518,BDC,BANDEL JN,160.0,7.69,7.69,84.62,0.0
02518,KOAA,KOLKATA,156.0,7.69,9.62,82.69,0.0
05639,SCL,SILCHAR,1.0,100.0,0.0,0.0,0.0
05639,BPB,BADARPUR JN,6.0,86.79,13.21,0.0,0.0
05639,NHGJ,NEW HARANGAJAO,14.0,66.04,32.08,1.89,0.0
05639,NHLG,NEW HAFLONG,18.0,62.26,33.96,3.77,0.0
05639,MBG,MAIBANG,27.0,22.64,75.47,1.89,0.0
05639,LMG,LUMDING JN,13.0,66.04,32.08,1.89,0.0
05639,LKA,LANKA,16.0,54.72,43.4,1.89,0.0
05639,HJI,HOJAI,18.0,49.06,49.06,1.89,0.0
05639,GHY,GUWAHATI,62.0,30.19,16.98,52.83,0.0
05639,KYQ,KAMAKHYA,78.0,22.64,18.87,58.49,0.0
05639,GLPT,GOALPARA TOWN,102.0,1.89,28.3,69.81,0.0
05639,NBQ,NEW BONGAIGAON,83.0,16.98,22.64,60.38,0.0
05639,KOJ,KOKRAJHAR,90.0,15.09,20.75,64.15,0.0
05639,GOGH,GOSSAIGAON HAT,105.0,1.89,30.19,67.92,0.0
05639,NOQ,NEW ALIPURDAUR,109.0,7.55,22.64,69.81,0.0
05639,NCB,NEW COOCH BEHAR,130.0,0.0,20.75,79.25,0.0
05639,DQG,DHUPGURI,121.0,3.77,20.75,75.47,0.0
05639,NJP,NEW JALPAIGURI,112.0,13.21,16.98,69.81,0.0
05639,AUB,ALUABARI ROAD,126.0,7.55,18.87,73.58,0.0
05639,KNE,KISHANGANJ,136.0,5.66,20.75,73.58,0.0
05639,BOE,BARSOI JN,151.0,1.89,20.75,77.36,0.0
05639,KDPR,KUMEDPUR,159.0,1.89,18.87,79.25,0.0
05639,MLDT,MALDA TOWN,150.0,7.55,16.98,75.47,0.0
05639,JRLE,JANGIPUR ROAD,168.0,9.43,11.32,79.25,0.0
05639,AZ,AZIMGANJ JN,164.0,9.43,9.43,81.13,0.0
05639,KWAE,KATWA,158.0,13.21,7.55,79.25,0.0
05639,BDC,BANDEL JN,148.0,15.09,15.09,69.81,0.0
05639,NH,NAIHATI JN,147.0,13.21,18.87,67.92,0.0
05639,KOAA,KOLKATA,134.0,22.64,13.21,64.15,0.0
05640,KOAA,KOLKATA,161.0,15.38,17.31,67.31,0.0
05640,NH,NAIHATI JN,153.0,19.23,19.23,61.54,0.0
05640,BDC,BANDEL JN,165.0,15.38,13.46,71.15,0.0
05640,KWAE,KATWA,159.0,11.54,25.0,63.46,0.0
05640,AZ,AZIMGANJ JN,137.0,21.15,15.38,63.46,0.0
05640,JRLE,JANGIPUR ROAD,126.0,25.0,23.08,51.92,0.0
05640,MLDT,MALDA TOWN,149.0,19.23,17.31,63.46,0.0
05640,KDPR,KUMEDPUR,167.0,7.69,25.0,67.31,0.0
05640,BOE,BARSOI JN,165.0,7.69,26.92,65.38,0.0
05640,KNE,KISHANGANJ,190.0,3.85,23.08,73.08,0.0
05640,AUB,ALUABARI ROAD,194.0,3.85,23.08,73.08,0.0
05640,NJP,NEW JALPAIGURI,176.0,13.46,23.08,63.46,0.0
05640,DQG,DHUPGURI,172.0,15.38,17.31,67.31,0.0
05640,NCB,NEW COOCH BEHAR,194.0,9.62,13.46,76.92,0.0
05640,NOQ,NEW ALIPURDAUR,193.0,5.77,17.31,76.92,0.0
05640,GOGH,GOSSAIGAON HAT,210.0,1.92,19.23,78.85,0.0
05640,KOJ,KOKRAJHAR,226.0,1.92,15.38,82.69,0.0
05640,NBQ,NEW BONGAIGAON,238.0,0.0,13.46,86.54,0.0
05640,GLPT,GOALPARA TOWN,237.0,1.92,9.62,88.46,0.0
05640,KYQ,KAMAKHYA,237.0,11.54,5.77,82.69,0.0
05640,GHY,GUWAHATI,258.0,1.92,13.46,84.62,0.0
05640,HJI,HOJAI,278.0,3.85,7.69,88.46,0.0
05640,LKA,LANKA,281.0,3.85,5.77,90.38,0.0
05640,LMG,LUMDING JN,281.0,1.92,7.69,90.38,0.0
05640,MBG,MAIBANG,249.0,7.69,3.85,88.46,0.0
05640,NHLG,NEW HAFLONG,258.0,5.77,7.69,86.54,0.0
05640,NHGJ,NEW HARANGAJAO,264.0,1.92,13.46,84.62,0.0
05640,BPB,BADARPUR JN,239.0,9.62,7.69,82.69,0.0
05640,SCL,SILCHAR,224.0,13.46,3.85,82.69,0.0
12346,GHY,GUWAHATI,15.0,87.12,6.85,6.03,0.0
12346,KYQ,KAMAKHYA,16.0,85.75,7.4,6.85,0.0
12346,NBQ,NEW BONGAIGAON,32.0,42.19,44.66,13.15,0.0
12346,NOQ,NEW ALIPURDAUR,39.0,33.97,45.75,20.27,0.0
12346,NCB,NEW COOCH BEHAR,55.0,13.42,56.44,30.14,0.0
12346,FLK,FALAKATA,55.0,10.41,65.21,24.38,0.0
12346,DQG,DHUPGURI,53.0,12.33,49.04,21.92,16.71
12346,NJP,NEW JALPAIGURI,40.0,42.74,33.97,23.29,0.0
12346,KNE,KISHANGANJ,53.0,16.44,57.26,26.3,0.0
12346,MLDT,MALDA TOWN,46.0,32.6,42.19,25.21,0.0
12346,NFK,NEW FARAKKA JN,43.0,58.36,15.34,26.3,0.0
12346,RPH,RAMPUR HAT,59.0,27.95,36.44,35.34,0.27
12346,BHP,BOLPUR S NIKTN,71.0,16.71,42.19,40.82,0.27
12346,BWN,BARDDHAMAN JN,58.0,36.99,30.14,32.6,0.27
12346,HWH,HOWRAH JN,49.0,49.59,20.0,30.41,0.0
12423,DBRG,DIBRUGARH,8.0,78.9,0.82,2.19,18.08
12423,DBRT,DIBRUGARH TOWN,3.0,17.81,0.0,0.27,81.92
12423,NTSK,NEW TINSUKIA JN,9.0,94.25,2.74,2.47,0.55
12423,MXN,MARIANI JN,21.0,65.48,29.04,5.48,0.0
12423,DMV,DIMAPUR,26.0,49.86,43.01,7.12,0.0
12423,LMG,LUMDING JN,35.0,28.49,59.45,12.05,0.0
12423,CPK,CHAPARMUKH JN,42.0,15.89,68.77,15.34,0.0
12423,GHY,GUWAHATI,34.0,40.82,45.48,13.7,0.0
12423,BNGN,BONGAIGAON,27.0,1.1,2.74,0.27,95.89
12423,NBQ,NEW BONGAIGAON,44.0,33.97,37.81,24.11,4.11
12423,KOJ,KOKRAJHAR,50.0,29.59,43.84,26.58,0.0
12423,NCB,NEW COOCH BEHAR,67.0,12.88,46.58,40.55,0.0
12423,NJP,NEW JALPAIGURI,48.0,48.77,24.38,26.85,0.0
12423,KNE,KISHANGANJ,57.0,39.73,30.96,29.32,0.0
12423,KIR,KATIHAR JN,50.0,58.36,13.7,27.95,0.0
12423,NNA,NAUGACHIA,53.0,53.7,18.9,27.4,0.0
12423,BJU,BARAUNI JN,60.0,38.36,31.23,30.41,0.0
12423,PPTA,PATLIPUTRA,42.0,64.93,11.78,23.29,0.0
12423,DNR,DANAPUR,45.0,63.29,12.6,24.11,0.0
12423,DDU,PT DEEN DAYAL UPADHYAY JN,40.0,70.41,7.12,22.47,0.0
