number,name,type,type_canonical,zone,from_station_code,from_station_name,to_station_code,to_station_name,distance,duration_h,duration_m,arrival,departure,return_train,sleeper,third_ac,second_ac,first_ac,first_class,chair_car
04601,Jammu Tawi Udhampur Special,DEMU,DEMU,NR,JAT,JAMMU TAWI,UHP,UDHAMPUR,53,1,35,12:15:00,10:40:00,04602,0,0,0,0,0,0
04602,UDHAMPUR JAMMUTAWI DMU,DEMU,DEMU,NR,UHP,UDHAMPUR,JAT,JAMMU TAWI,53,1,50,08:35:00,06:45:00,04601,0,0,0,0,0,0
04603,JAT UDAHMPUR DMU,DEMU,DEMU,NR,JAT,JAMMU TAWI,UHP,UDHAMPUR,53,1,35,17:50:00,16:15:00,04604,0,0,0,0,0,0
04604,UDHAMPUR JAMMUTAWI DMU,DEMU,DEMU,NR,UHP,UDHAMPUR,JAT,JAMMU TAWI,53,1,30,19:50:00,18:20:00,04603,0,0,0,0,0,0
04728,Mumbai BandraT-Bikaner SF Special,SF,Superfast,NWR,BDTS,MUMBAI BANDRA TERMINUS,BKN,BIKANER JN,1212,21,55,12:30:00,14:35:00,04727,1,1,1,0,0,0
04741,Sirsa - Hisar Passenger Special,Pass,Passenger,?,SSA,Sirsa,HSR,Hisar,82,1,35,00:25:00,22:50:00,04742,0,0,0,0,0,0
04742,Hisar - Sirsa Passenger Special,Pass,Passenger,?,HSR,Hisar,SSA,Sirsa,82,1,50,06:10:00,04:20:00,04741,0,0,0,0,0,0
04853,Rewari Degana Merta Special,Pass,Passenger,NWR,DNA,DEGANA JN,MTD,MERTA ROAD JN,44,1,15,23:45:00,22:30:00,04854,0,0,0,0,0,0
04854,Degana Merta Special,Pass,Passenger,NWR,MTD,MERTA ROAD JN,DNA,DEGANA JN,44,1,0,04:40:00,03:40:00,04853,0,0,0,0,0,0
09022,JAMMU TAWI - BANDRA TERMINUS AC Suvidha Special (Starts 5 April),SF,Superfast,WR,JAT,JAMMU TAWI,BDTS,MUMBAI BANDRA TERMINUS,1957,32,20,17:50:00,09:30:00,09021,1,1,1,1,0,0
11017,Chalukya Express,Exp,Express,CR,DR,MUMBAI DADAR CENTRAL,YPR,YESVANTPUR JN,1205,24,25,21:55:00,21:30:00,11018,1,1,1,0,0,0
11019,Konark Express,Exp,Express,CR,CSTM,MUMBAI CST,BBS,BHUBANESWAR,1932,37,15,04:25:00,15:10:00,11020,1,1,1,0,0,0
11020,Konark Express,Exp,Express,CR,BBS,BHUBANESWAR,CSTM,MUMBAI CST,1932,36,35,03:55:00,15:20:00,11019,1,1,1,0,0,0
11023,Sahyadri Express,Exp,Express,CR,CSTM,MUMBAI CST,KOP,C SHAHU M RAJ KOLHAPUR TERM,518,12,15,06:05:00,17:50:00,11024,1,1,1,0,0,0
11024,Sahyadri Express,Exp,Express,CR,KOP,C SHAHU M RAJ KOLHAPUR TERM,CSTM,MUMBAI CST,518,13,5,11:55:00,22:50:00,11023,1,1,1,0,0,0
11025,Manmad Pune Express(Via Nasik),Exp,Express,CR,MMR,MANMAD JN,PUNE,PUNE JN,364,7,35,12:05:00,04:30:00,11026,0,0,0,0,0,1
11026,Pune Manmad Express,Exp,Express,CR,PUNE,PUNE JN,MMR,MANMAD JN,364,8,40,21:30:00,12:50:00,11025,0,0,0,0,0,1
11027,Mumbai CST-Chennai Mail,Mail,Mail/Express,CR,CSTM,MUMBAI CST,MAS,CHENNAI CENTRAL,1283,29,10,04:55:00,23:45:00,11028,1,1,1,0,0,0
11029,Koyna Express,Exp,Express,CR,CSTM,MUMBAI CST,KOP,C SHAHU M RAJ KOLHAPUR TERM,518,11,45,20:25:00,08:40:00,11030,0,0,0,0,0,1
11030,Koyna Express,Exp,Express,CR,KOP,C SHAHU M RAJ KOLHAPUR TERM,CSTM,MUMBAI CST,518,12,27,20:22:00,07:55:00,11029,0,0,0,0,0,1
11033,PUNE - DARBHANGA Gyan Ganga Exp,Exp,Express,CR,PUNE,PUNE JN,DBG,DARBHANGA JN,1948,38,30,06:45:00,16:15:00,11034,1,1,1,0,0,0
11035,Dadar-Mysore Sharavati Express,Exp,Express,CR,DR,MUMBAI DADAR CENTRAL,MYS,MYSORE JN,1212,24,15,21:45:00,21:30:00,11036,1,1,1,0,0,0
11036,Mysore-Dadar Sharavati Express,Exp,Express,CR,MYS,MYSORE JN,DR,MUMBAI DADAR CENTRAL,1212,23,35,05:50:00,06:15:00,11035,1,1,1,0,0,0
11037,PUNE - GORAKHPUR Exp,Exp,Express,CR,PUNE,PUNE JN,GKP,GORAKHPUR JN,1771,33,0,01:15:00,16:15:00,11038,1,1,1,0,0,0
11038,GORAKHPUR - PUNE Exp,Exp,Express,CR,GKP,GORAKHPUR JN,PUNE,PUNE JN,1771,36,35,04:05:00,15:30:00,11037,1,1,1,0,0,0
11039,Maharashtra Express,Exp,Express,CR,KOP,C SHAHU M RAJ KOLHAPUR TERM,G,GONDIA JN,1346,28,45,20:15:00,15:30:00,11040,1,1,1,0,0,0
11039-Slip,Kolhapur-Gorakhpur Express Slip,Exp,Express,CR,KOP,C SHAHU M RAJ KOLHAPUR TERM,GKP,GORAKHPUR JN,2107,51,40,19:10:00,15:30:00,,1,0,0,0,0,0
11040,Maharashtra Express,Exp,Express,CR,G,GONDIA JN,KOP,C SHAHU M RAJ KOLHAPUR TERM,1346,28,25,12:45:00,08:20:00,11039,1,1,1,0,0,0
11040-Slip,Gondia-Solapur Maharashtra Express Slip,Exp,Express,CR,G,GONDIA JN,SUR,SOLAPUR JN,1132,24,30,08:50:00,08:20:00,,1,0,0,0,0,0
11041,Mumbai - Chennai Express,Exp,Express,CR,CSTM,MUMBAI CST,MAS,CHENNAI CENTRAL,1283,26,45,16:45:00,14:00:00,11042,1,1,1,0,0,0
11043,MUMBAI LTT - MADURAI Exp,Exp,Express,CR,LTT,LOKMANYA TILAK TERM,MDU,MADURAI JN,1702,36,15,12:30:00,00:15:00,11044,1,1,1,0,0,0
11044,MADURAI - MUMBAI LTT Exp,Exp,Express,CR,MDU,MADURAI JN,LTT,LOKMANYA TILAK TERM,1702,35,45,05:45:00,18:00:00,11043,1,1,1,0,0,0
11045,KOLHAPUR CSMT - DHANBAD Deekshabhoomi Exp,Exp,Express,CR,KOP,C SHAHU M RAJ KOLHAPUR TERM,DHN,DHANBAD JN,2968,60,15,12:00:00,23:45:00,11046,1,1,0,0,0,0
11047,Hubli Express,Exp,Express,CR,MRJ,MIRAJ JN,UBL,HUBLI JN,279,6,15,06:25:00,00:10:00,11048,1,0,0,0,0,0
11048,Hubli Miraj Express,Exp,Express,CR,UBL,HUBLI JN,MRJ,MIRAJ JN,279,6,15,05:15:00,23:00:00,11047,1,0,0,0,0,0
11049,Ahmedabad-Kolhapur Express,Exp,Express,CR,ADI,AHMEDABAD JN,KOP,C SHAHU M RAJ KOLHAPUR TERM,961,19,55,15:25:00,19:30:00,11050,1,1,1,0,0,0
11050,Kolhapur-Ahmedabad Express,Exp,Express,CR,KOP,C SHAHU M RAJ KOLHAPUR TERM,ADI,AHMEDABAD JN,961,18,55,07:45:00,12:50:00,11049,1,1,1,0,0,0
11051,Solapur-Kolhapur Express,Exp,Express,CR,SUR,SOLAPUR JN,KOP,C SHAHU M RAJ KOLHAPUR TERM,315,6,5,14:15:00,08:10:00,11052,1,1,0,0,0,0
11052,Kolhapur Solapur Express,Exp,Express,CR,KOP,C SHAHU M RAJ KOLHAPUR TERM,SUR,SOLAPUR JN,315,6,15,15:00:00,08:45:00,11051,1,1,0,0,0,0
11056,GORAKHPUR - MUMBAI LTT Exp,Exp,Express,CR,GKP,GORAKHPUR JN,LTT,LOKMANYA TILAK TERM,1733,33,40,16:05:00,06:25:00,11055,1,1,1,0,0,0
11057,Dadar Amritsar Express,Exp,Express,CR,DR,MUMBAI DADAR CENTRAL,ASR,AMRITSAR JN,2037,40,45,16:30:00,23:45:00,11058,1,1,1,0,0,0
11057-Slip,Dadar Amritsar Express Slip,Exp,Express,CR,DR,MUMBAI DADAR CENTRAL,DHI,Dhule,375,7,40,07:25:00,23:45:00,,1,1,1,0,0,0
11058,Amritsar Dadar Express,Exp,Express,CR,ASR,AMRITSAR JN,DR,MUMBAI DADAR CENTRAL,2037,43,30,04:00:00,08:30:00,11057,1,1,1,0,0,0
11059,MUMBAI LTT - CHHAPRA Godan Exp,Exp,Express,CR,LTT,LOKMANYA TILAK TERM,CPR,CHHAPRA,1772,34,0,20:55:00,10:55:00,11060,1,1,1,0,0,0
11060,CHHAPRA - MUMBAI LTT Godan Exp,Exp,Express,CR,CPR,CHHAPRA,LTT,LOKMANYA TILAK TERM,1772,34,35,16:05:00,05:30:00,11059,1,1,1,0,0,0
11062,DARBHANGA - MUMBAI LTT Pawan Exp,Exp,Express,CR,DBG,DARBHANGA JN,LTT,LOKMANYA TILAK TERM,1791,35,55,03:45:00,15:50:00,11061,1,1,1,0,0,0
56305,Kottayam Kollam Passenger,Pass,Passenger,SR,KTYM,KOTTAYAM,QLN,KOLLAM JN,96,2,30,08:10:00,05:40:00,,0,0,0,0,0,0
58651,Ranchi Lohardaga Passenger,Pass,Passenger,SER,RNC,RANCHI,LAD,Lohardaga,67,1,30,07:00:00,05:30:00,58652,0,0,0,0,0,0
04858,Jodhpur Pipar Road Passenger Special,Pass,Passenger,NWR,JU,JODHPUR JN,PPR,PIPAR ROAD JN,46,0,58,19:28:00,18:30:00,04857,0,0,0,0,0,0
05305,Farrukhabad-KanpurAnwarganj Passenger,Pass,Passenger,NER,FBD,FARRUKHABAD,CPA,KANPUR ANWARGANJ,138,3,25,14:25:00,11:00:00,05306,0,0,0,0,0,0
05306,KanpurAnwarganj-Farrukhabad Special,Exp,Express,NER,CPA,KANPUR ANWARGANJ,FBD,FARRUKHABAD,138,3,25,18:20:00,14:55:00,05305,0,0,0,0,0,0
05650,Kamakhya - Mumbai LTT (Weekly) Special,Exp,Express,NFR,KYQ,KAMAKHYA,LTT,LOKMANYA TILAK TERM,2613,54,55,22:45:00,15:50:00,05649,1,1,0,0,0,0
05697,Hill Queen Express,JShtb,Jan Shatabdi,NFR,LMG,LUMDING JN,LFG,Lower Haflong,104,3,45,13:30:00,09:45:00,05698,0,0,0,0,0,1
05698,Hill Queen Express,JShtb,Jan Shatabdi,NFR,LFG,Lower Haflong,LMG,LUMDING JN,104,3,45,17:30:00,13:45:00,05697,0,0,0,0,0,1
06002,Kollam-Chennai Central SF Special,SF,Superfast,SR,QLN,KOLLAM JN,MAS,CHENNAI CENTRAL,858,16,10,03:40:00,11:30:00,06001,1,1,1,0,0,0
06003,Chennai Central-Kollam Special,Exp,Express,SR,MAS,CHENNAI CENTRAL,QLN,KOLLAM JN,857,14,45,11:30:00,20:45:00,06002,1,1,1,0,0,0
06004,Kollam-Chennai Central Special,Exp,Express,SR,QLN,KOLLAM JN,MAS,CHENNAI CENTRAL,857,16,55,10:45:00,17:50:00,06005,1,1,1,0,0,0
06005,Chennai Central-Kollam SF Special,SF,Superfast,SR,MAS,CHENNAI CENTRAL,QLN,KOLLAM JN,857,14,45,11:30:00,20:45:00,06006,1,1,1,0,0,0
06006,Kollam-Chennai Central SF Special,SF,Superfast,SR,QLN,KOLLAM JN,MAS,CHENNAI CENTRAL,857,16,55,10:45:00,17:50:00,06007,1,1,1,0,0,0
06007,Chennai Central-Kollam SF Special,SF,Superfast,SR,MAS,CHENNAI CENTRAL,QLN,KOLLAM JN,858,15,30,06:45:00,15:15:00,06008,1,1,1,0,0,0
06008,KollamChennai Central SF Special,SF,Superfast,SR,QLN,KOLLAM JN,MAS,CHENNAI CENTRAL,858,16,10,03:40:00,11:30:00,06007,1,1,1,0,0,0
06009,Chennai CentralKollam SF Special,SF,Superfast,SR,MAS,CHENNAI CENTRAL,QLN,KOLLAM JN,858,16,0,15:30:00,23:30:00,06008,1,1,1,0,0,0
06011,Chennai Central Kollam (Weekly) SF Special,SF,Superfast,SR,MAS,CHENNAI CENTRAL,QLN,KOLLAM JN,858,14,30,05:45:00,15:15:00,06010,1,1,1,0,0,0
06201,Mysore-Sainagar Shirdi Special,Exp,Express,SWR,MYS,MYSORE JN,SNSI,SAINAGAR SHIRDI,1304,30,0,11:30:00,05:30:00,06202,1,1,1,0,0,0
