metric,dataset,category,field,value,pct
dataset_record_count,stations_clean.json,Static,,8990,
dataset_record_count,trains_clean.json,Static,,5208,
dataset_record_count,schedules_clean.json,Static,,416636,
dataset_record_count,delays_clean.json,Live Snapshot,,444,
decision_count,ALL,,EXCLUDE,445,
decision_count,ALL,,INVESTIGATE,36861,
decision_count,ALL,,MAP,5193,
issue_type_count,ALL,,MISSING_VALUE,36198,
issue_type_count,ALL,,TYPE_STANDARDISED,5193,
issue_type_count,ALL,,EXACT_DUPLICATE,444,
issue_type_count,ALL,,MISSING_GEOMETRY,293,
issue_type_count,ALL,,UNKNOWN_TRAIN_NUMBER,229,
issue_type_count,ALL,,UNKNOWN_STATION_CODE,61,
issue_type_count,ALL,,DISTANCE_ISSUE,42,
issue_type_count,ALL,,PLACEHOLDER_CODE,23,
issue_type_count,ALL,,UNKNOWN_TYPE,15,
issue_type_count,ALL,,EMPTY_COLUMN,1,
missing_value,stations_clean.json,,code,0,0.0
missing_value,stations_clean.json,,name,1,0.01
missing_value,stations_clean.json,,state,4593,51.09
missing_value,stations_clean.json,,zone,4532,50.41
missing_value,stations_clean.json,,address,4593,51.09
missing_value,stations_clean.json,,lon,293,3.26
missing_value,stations_clean.json,,lat,293,3.26
missing_value,trains_clean.json,,number,0,0.0
missing_value,trains_clean.json,,name,1,0.02
missing_value,trains_clean.json,,type,15,0.29
missing_value,trains_clean.json,,type_canonical,15,0.29
missing_value,trains_clean.json,,zone,15,0.29
missing_value,trains_clean.json,,from_station_code,0,0.0
missing_value,trains_clean.json,,to_station_code,0,0.0
missing_value,trains_clean.json,,distance,15,0.29
missing_value,trains_clean.json,,duration_h,15,0.29
missing_value,trains_clean.json,,duration_m,15,0.29
missing_value,trains_clean.json,,arrival,15,0.29
missing_value,trains_clean.json,,departure,15,0.29
missing_value,trains_clean.json,,return_train,599,11.5
missing_value,trains_clean.json,,sleeper,0,0.0
missing_value,trains_clean.json,,third_ac,0,0.0
missing_value,trains_clean.json,,second_ac,0,0.0
missing_value,trains_clean.json,,first_ac,0,0.0
missing_value,trains_clean.json,,first_class,0,0.0
missing_value,trains_clean.json,,chair_car,0,0.0
missing_value,trains_clean.json,,from_station_name,0,0.0
missing_value,trains_clean.json,,to_station_name,0,0.0
missing_value,schedules_clean.json,,arrival,27647,6.64
missing_value,schedules_clean.json,,day,22419,5.38
missing_value,schedules_clean.json,,train_name,8,0.0
missing_value,schedules_clean.json,,station_name,2,0.0
missing_value,schedules_clean.json,,station_code,0,0.0
missing_value,schedules_clean.json,,id,0,0.0
missing_value,schedules_clean.json,,train_number,0,0.0
missing_value,schedules_clean.json,,departure,27637,6.63
missing_value,delays_clean.json,,train_number,0,0.0
missing_value,delays_clean.json,,delay_min,19,4.28
missing_value,delays_clean.json,,cancelled,0,0.0
missing_value,delays_clean.json,,snapshot_ts,0,0.0
