train_number,current_delay_minutes,delay_category,current_delay_status,historical_avg_delay,historical_context_status,route_distance,stop_count,scheduled_duration_hours,train_type,route_context_status,actual_arrival_time
04601,,,NOT_AVAILABLE,,NOT_AVAILABLE,53.0,6,1.5833333333333335,DEMU,STATIC_CONTEXT,
04602,,,NOT_AVAILABLE,,NOT_AVAILABLE,53.0,6,1.8333333333333335,DEMU,STATIC_CONTEXT,
04603,,,NOT_AVAILABLE,,NOT_AVAILABLE,53.0,6,1.5833333333333335,DEMU,STATIC_CONTEXT,
04604,,,NOT_AVAILABLE,,NOT_AVAILABLE,53.0,6,1.5,DEMU,STATIC_CONTEXT,
04728,,,NOT_AVAILABLE,,NOT_AVAILABLE,1212.0,185,21.916666666666668,Superfast,STATIC_CONTEXT,
04741,,,NOT_AVAILABLE,168.0,HISTORICAL_AGGREGATED,82.0,8,1.5833333333333335,Passenger,STATIC_CONTEXT,
04742,,,NOT_AVAILABLE,159.0,HISTORICAL_AGGREGATED,82.0,7,1.8333333333333335,Passenger,STATIC_CONTEXT,
04853,,,NOT_AVAILABLE,,NOT_AVAILABLE,44.0,6,1.25,Passenger,STATIC_CONTEXT,
04854,,,NOT_AVAILABLE,,NOT_AVAILABLE,44.0,6,1.0,Passenger,STATIC_CONTEXT,
09022,,,NOT_AVAILABLE,,NOT_AVAILABLE,1957.0,317,32.333333333333336,Superfast,STATIC_CONTEXT,
